_id,awayTeam,homeTeam,competition,date,totalScores,home,away,firstQuarterAwayScore,firstQuarterHomeScore,secondQuarterAwayScore,secondQuarterHomeScore,thirdQuarterAwayScore,thirdQuarterHomeScore,fourthQuarterAwayScore,fourthQuarterHomeScore
491868545,Cleveland Cavaliers (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1700665200,202,107,95,24,28,23,29,21,28,27,22
491806087,Atlanta Hawks (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1700643600,200,109,91,27,28,27,24,18,23,19,34
492037218,Cleveland Cavaliers (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700732400,196,96,100,24,28,26,18,29,24,21,26
491855322,Cleveland Cavaliers (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700660400,218,101,117,27,27,31,26,35,24,24,24
491847892,Brooklyn Nets (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700658000,195,100,95,24,31,25,21,27,24,19,24
491820017,Boston Celtics (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700648400,197,92,105,26,23,21,26,26,23,32,20
492103756,New York Knicks (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1700756400,195,87,108,28,25,25,25,22,16,33,21
491861912,Atlanta Hawks (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700662800,223,116,107,27,27,21,27,29,31,30,31
492030163,Philadelphia 76ers (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700730000,196,103,93,17,29,25,25,26,19,25,30
492145911,Atlanta Hawks (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1700770800,211,116,95,21,25,29,37,20,23,25,31
492157030,Brooklyn Nets (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700775600,212,108,104,25,29,21,25,28,25,30,29
492634309,Milwaukee Bucks (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700938800,212,102,110,27,23,30,24,22,33,31,22
492583067,Atlanta Hawks (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1700926800,181,101,80,23,23,15,35,22,22,20,21
492519282,Cleveland Cavaliers (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1700912400,213,112,101,25,26,21,26,25,32,30,28
492660436,Milwaukee Bucks (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700946000,195,86,109,29,20,26,25,34,16,20,25
492442304,Atlanta Hawks (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1700886000,193,93,100,20,19,27,19,23,28,30,27
492327232,Brooklyn Nets (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700845200,184,97,87,16,28,18,29,28,17,25,23
492265413,Milwaukee Bucks (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700826000,215,98,117,26,25,30,30,32,18,29,25
492509517,Brooklyn Nets (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700910000,202,97,105,28,28,23,25,29,21,25,23
492471465,Cleveland Cavaliers (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700898000,221,105,116,28,19,38,28,23,28,27,30
492465653,Miami Heat (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1700895600,201,107,94,21,16,31,35,15,34,27,22
492453707,Boston Celtics (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700890800,199,96,103,19,23,18,35,34,13,32,25
492410166,Philadelphia 76ers (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1700871600,187,90,97,19,24,22,18,24,32,32,16
492422562,Milwaukee Bucks (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700876400,198,95,103,29,22,20,22,27,29,27,22
492345888,Miami Heat (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700850000,222,118,104,32,21,27,24,19,40,26,33
492192238,New York Knicks (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1700794800,163,68,95,34,10,28,27,19,12,14,19
492175115,Miami Heat (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700785200,195,89,106,21,28,29,23,24,18,32,20
492493341,Milwaukee Bucks (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700905200,199,96,103,30,27,27,29,23,23,23,17
492287622,Atlanta Hawks (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1700833200,213,101,112,34,15,29,30,21,25,28,31
492166016,Philadelphia 76ers (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1700780400,196,105,91,16,28,21,25,31,23,23,29
492257744,Boston Celtics (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700823600,214,95,119,29,22,30,32,30,28,30,13
492251054,Philadelphia 76ers (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1700821200,191,82,109,22,14,32,24,25,20,30,24
492228542,Philadelphia 76ers (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1700814000,176,94,82,24,26,22,28,16,19,20,21
